"mois_no","groupe_no","prov_no","no","ca","code_prov","provenance","code_dep","departement","code_groupe","groupe","code_sgroupe","sous_groupe","mois","mois_numero","annee"
1,1,1,1,7055.5,0,"Par correspondance",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Janvier",1,2003
1,19,5,4417,6593.7998,4,"Commandes téléphoniques",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Janvier",1,2003
1,111,2,26425,1211,1,"Zürich",9,"Meubles",29,"Meubles exterieurs",29.2,"Armoires de cuisine","Janvier",1,2003
1,19,4,4393,8732.90039,3,"Expo",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Janvier",1,2003
1,89,9,21313,3079.69995,8,"Boutique",8,"Lingerie",25,"Draps & lits",25,"Draps","Janvier",1,2003
1,14,2,3145,6533.2002,1,"Zürich",0,"Ménage",11,"Cuisine & Accessoires",11.4,"Stockage, nettoyage, séchage, repassage","Janvier",1,2003
1,51,1,12001,1075,0,"Par correspondance",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.7,"Chaînes et colliers","Janvier",1,2003
1,66,6,15721,3595.80005,5,"Revetement de sol professionnel",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.8,"Valises","Janvier",1,2003
1,113,1,26881,5822.1001,0,"Par correspondance",9,"Meubles",29,"Meubles exterieurs",29.4,"Salles de bains","Janvier",1,2003
1,5,8,1129,1794.5,7,"Studio Photo",0,"Ménage",10,"Nettoyage",10.4,"Divers","Janvier",1,2003
1,28,1,6481,4833.6001,0,"Par correspondance",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Janvier",1,2003
1,73,5,17377,11.8999996,4,"Commandes téléphoniques",6,"Radio -TV",22,"Maroquinerie - parapluies",22.6,"Piles","Janvier",1,2003
1,28,5,6577,469.200012,4,"Commandes téléphoniques",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Janvier",1,2003
1,89,8,21289,9564.5,7,"Studio Photo",8,"Lingerie",25,"Draps & lits",25,"Draps","Janvier",1,2003
1,78,10,18697,368.600006,9,"Vente aux employés",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Janvier",1,2003
