"room_type";"price";"review_scores_rating";"Wifi";"TV"
"Entire home/apt";250;5;"Non";"Oui"
"Entire home/apt";50;4,5;"Non";"Non"
"Entire home/apt";77;;"Non";"Oui"
"Entire home/apt";100;4,45;"Non";"Oui"
"Entire home/apt";80;;"Non";"Non"
"Entire home/apt";50;4;"Non";"Oui"
"Entire home/apt";54;;"Non";"Oui"
"Entire home/apt";100;;"Non";"Non"
"Entire home/apt";45;4,78;"Non";"Oui"
"Entire home/apt";359;;"Non";"Non"
"Entire home/apt";45;4,64;"Non";"Oui"
"Entire home/apt";130;5;"Oui";"Oui"
"Entire home/apt";350;;"Non";"Non"
"Entire home/apt";107;4,29;"Non";"Non"
"Entire home/apt";74;;"Non";"Non"
"Entire home/apt";68;;"Non";"Oui"
"Entire home/apt";85;4,48;"Non";"Non"
"Entire home/apt";100;4,69;"Non";"Non"
"Entire home/apt";75;5;"Non";"Non"
"Entire home/apt";120;4,92;"Non";"Oui"
"Entire home/apt";150;;"Oui";"Non"
"Entire home/apt";127;4,45;"Non";"Non"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";65;4,64;"Non";"Oui"
"Entire home/apt";230;;"Non";"Non"
"Entire home/apt";84;4;"Non";"Non"
"Entire home/apt";83;;"Non";"Oui"
"Entire home/apt";75;;"Non";"Non"
"Entire home/apt";89;;"Non";"Oui"
"Entire home/apt";157;5;"Non";"Non"
"Private room";28;;"Non";"Oui"
"Entire home/apt";60;;"Oui";"Oui"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";60;5;"Non";"Oui"
"Private room";70;0;"Non";"Oui"
"Entire home/apt";92;4,47;"Non";"Non"
"Entire home/apt";90;4,86;"Non";"Oui"
"Private room";28;;"Non";"Oui"
"Private room";100;5;"Non";"Oui"
"Entire home/apt";100;4,42;"Non";"Oui"
"Entire home/apt";89;;"Non";"Non"
"Entire home/apt";45;5;"Non";"Oui"
"Private room";40;0;"Non";"Oui"
"Entire home/apt";67;4,5;"Non";"Oui"
"Entire home/apt";131;5;"Non";"Non"
"Entire home/apt";80;;"Non";"Non"
"Private room";97;;"Non";"Oui"
"Entire home/apt";55;4;"Non";"Non"
"Entire home/apt";120;1,5;"Non";"Non"
"Entire home/apt";109;4,72;"Non";"Oui"
"Entire home/apt";240;4,79;"Non";"Oui"
"Entire home/apt";160;5;"Non";"Non"
"Entire home/apt";120;4,8;"Non";"Oui"
"Private room";66;5;"Non";"Non"
"Entire home/apt";170;4,85;"Non";"Oui"
"Entire home/apt";80;4,88;"Non";"Oui"
"Entire home/apt";98;4,86;"Non";"Non"
"Hotel room";207;;"Non";"Oui"
"Entire home/apt";120;;"Non";"Oui"
"Entire home/apt";173;;"Non";"Non"
"Entire home/apt";35;4,56;"Non";"Non"
"Entire home/apt";85;4,56;"Non";"Oui"
"Entire home/apt";65;5;"Non";"Oui"
"Entire home/apt";146;4,93;"Non";"Oui"
"Entire home/apt";95;4,94;"Non";"Non"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";100;4,94;"Non";"Non"
"Entire home/apt";93;5;"Non";"Non"
"Entire home/apt";225;4,61;"Non";"Oui"
"Entire home/apt";80;5;"Non";"Non"
"Entire home/apt";100;4,86;"Non";"Non"
"Private room";237;;"Non";"Non"
"Entire home/apt";113;5;"Non";"Oui"
"Entire home/apt";54;4,33;"Non";"Oui"
"Entire home/apt";41;4,33;"Non";"Non"
"Entire home/apt";71;;"Non";"Oui"
"Private room";60;4,6;"Non";"Non"
"Entire home/apt";65;4,91;"Non";"Oui"
"Entire home/apt";198;4,94;"Non";"Oui"
"Entire home/apt";53;4,74;"Non";"Oui"
"Entire home/apt";95;5;"Non";"Oui"
"Entire home/apt";70;;"Non";"Non"
"Entire home/apt";698;4,34;"Non";"Non"
"Entire home/apt";73;4,75;"Non";"Oui"
"Entire home/apt";78;;"Non";"Oui"
"Entire home/apt";95;4,71;"Non";"Non"
"Entire home/apt";110;4,72;"Non";"Oui"
"Entire home/apt";70;4,67;"Non";"Oui"
"Entire home/apt";170;;"Non";"Non"
"Entire home/apt";120;5;"Non";"Non"
"Entire home/apt";220;5;"Non";"Non"
"Entire home/apt";100;4,13;"Non";"Oui"
"Entire home/apt";80;;"Non";"Non"
"Entire home/apt";98;4,91;"Non";"Non"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";170;4,81;"Non";"Oui"
"Entire home/apt";80;4,6;"Oui";"Non"
"Entire home/apt";65;4,71;"Non";"Non"
"Private room";131;5;"Non";"Oui"
"Entire home/apt";60;4,8;"Non";"Non"
"Private room";181;5;"Non";"Non"
"Entire home/apt";80;;"Non";"Non"
"Entire home/apt";96;;"Non";"Non"
"Entire home/apt";90;5;"Non";"Non"
"Entire home/apt";90;4,92;"Non";"Non"
"Entire home/apt";99;5;"Non";"Non"
"Entire home/apt";175;5;"Non";"Non"
"Entire home/apt";250;4,8;"Non";"Non"
"Entire home/apt";120;4,82;"Oui";"Oui"
"Entire home/apt";492;3,95;"Non";"Non"
"Entire home/apt";95;4,4;"Non";"Non"
"Private room";25;4,76;"Oui";"Oui"
"Hotel room";192;5;"Non";"Oui"
"Private room";187;;"Non";"Oui"
"Entire home/apt";100;;"Non";"Oui"
"Private room";75;4,9;"Non";"Non"
"Entire home/apt";130;;"Non";"Oui"
"Entire home/apt";150;;"Non";"Non"
"Entire home/apt";200;4,77;"Non";"Non"
"Entire home/apt";60;5;"Non";"Oui"
"Entire home/apt";71;;"Non";"Non"
"Private room";40;4,5;"Non";"Non"
"Entire home/apt";95;4,5;"Non";"Non"
"Private room";96;4,8;"Non";"Oui"
"Entire home/apt";89;3;"Non";"Non"
"Entire home/apt";140;4,58;"Non";"Non"
"Entire home/apt";135;4,73;"Non";"Oui"
"Entire home/apt";140;4,96;"Non";"Oui"
"Entire home/apt";131;;"Non";"Non"
"Entire home/apt";148;4,67;"Non";"Non"
"Entire home/apt";40;4,5;"Non";"Oui"
"Entire home/apt";35;4,14;"Non";"Oui"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";146;5;"Non";"Oui"
"Entire home/apt";120;4,75;"Non";"Non"
"Entire home/apt";187;4,67;"Non";"Non"
"Entire home/apt";100;4,12;"Non";"Oui"
"Entire home/apt";100;;"Non";"Non"
"Entire home/apt";200;;"Non";"Non"
"Hotel room";85;4,12;"Non";"Non"
"Entire home/apt";110;4,7;"Non";"Oui"
"Entire home/apt";57;0;"Non";"Oui"
"Entire home/apt";109;4,45;"Non";"Non"
"Private room";259;;"Non";"Non"
"Entire home/apt";65;4,87;"Non";"Oui"
"Entire home/apt";150;5;"Non";"Non"
"Entire home/apt";55;4,57;"Non";"Oui"
"Private room";45;;"Non";"Non"
"Entire home/apt";137;4,61;"Non";"Non"
"Private room";94;5;"Non";"Non"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";177;4,92;"Non";"Oui"
"Entire home/apt";85;5;"Non";"Non"
"Entire home/apt";70;;"Non";"Non"
